"행정구역별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"세종시","계","귀농가구원수[명]","명","122","103","101","124","101","120","103","99","134","103",
"세종시","계","귀농인수[명]","명","73","69","64","84","72","88","71","71","90","81",
"세종시","계","동반가구원수[명]","명","49","34","37","40","29","32","32","28","44","22",
"세종시","30대이하","귀농가구원수[명]","명","25","33","28","39","27","27","18","28","33","16",
"세종시","30대이하","귀농인수[명]","명","4","9","9","16","8","10","7","12","14","10",
"세종시","30대이하","동반가구원수[명]","명","21","24","19","23","19","17","11","16","19","6",
"세종시","40대","귀농가구원수[명]","명","22","26","8","14","18","17","17","18","18","7",
"세종시","40대","귀농인수[명]","명","16","20","6","11","16","14","14","14","12","7",
"세종시","40대","동반가구원수[명]","명","6","6","X","X","X","X","X","4","6","0",
"세종시","50대","귀농가구원수[명]","명","50","30","30","34","25","39","36","29","44","35",
"세종시","50대","귀농인수[명]","명","35","28","22","25","22","31","26","24","33","30",
"세종시","50대","동반가구원수[명]","명","15","X","8","9","X","8","10","5","11","5",
"세종시","60대","귀농가구원수[명]","명","20","10","28","22","26","30","28","20","32","34",
"세종시","60대","귀농인수[명]","명","14","9","22","18","21","27","22","17","27","26",
"세종시","60대","동반가구원수[명]","명","6","X","6","4","5","X","6","X","5","8",
"세종시","70대이상","귀농가구원수[명]","명","5","4","7","15","5","7","4","4","7","11",
"세종시","70대이상","귀농인수[명]","명","4","X","5","14","5","6","X","4","4","8",
"세종시","70대이상","동반가구원수[명]","명","X","X","X","X","0","X","X","0","X","X",
"경기도","계","귀농가구원수[명]","명","1458","1429","1760","2317","1943","1534","1403","1793","1929","1888",
"경기도","계","귀농인수[명]","명","882","898","1074","1298","1182","987","999","1118","1288","1207",
"경기도","계","동반가구원수[명]","명","576","531","686","1019","761","547","404","675","641","681",
"경기도","30대이하","귀농가구원수[명]","명","412","374","453","816","564","433","307","553","451","526",
"경기도","30대이하","귀농인수[명]","명","106","86","100","147","144","146","117","165","169","147",
"경기도","30대이하","동반가구원수[명]","명","306","288","353","669","420","287","190","388","282","379",
"경기도","40대","귀농가구원수[명]","명","250","237","256","285","237","198","182","201","217","197",
"경기도","40대","귀농인수[명]","명","188","182","194","224","174","151","146","155","177","162",
"경기도","40대","동반가구원수[명]","명","62","55","62","61","63","47","36","46","40","35",
"경기도","50대","귀농가구원수[명]","명","447","460","563","650","589","463","472","513","519","522",
"경기도","50대","귀농인수[명]","명","334","351","431","500","448","359","381","394","397","413",
"경기도","50대","동반가구원수[명]","명","113","109","132","150","141","104","91","119","122","109",
"경기도","60대","귀농가구원수[명]","명","264","264","364","433","434","339","329","428","576","518",
"경기도","60대","귀농인수[명]","명","195","206","272","333","332","266","280","340","426","402",
"경기도","60대","동반가구원수[명]","명","69","58","92","100","102","73","49","88","150","116",
"경기도","70대이상","귀농가구원수[명]","명","85","94","124","133","119","101","113","98","166","125",
"경기도","70대이상","귀농인수[명]","명","59","73","77","94","84","65","75","64","119","83",
"경기도","70대이상","동반가구원수[명]","명","26","21","47","39","35","36","38","34","47","42",
"평택시","계","귀농가구원수[명]","명","87","76","110","133","144","95","81","154","128","131",
"평택시","계","귀농인수[명]","명","51","47","67","95","97","73","64","95","91","97",
"평택시","계","동반가구원수[명]","명","36","29","43","38","47","22","17","59","37","34",
"평택시","30대이하","귀농가구원수[명]","명","31","19","25","37","33","26","24","45","34","28",
"평택시","30대이하","귀농인수[명]","명","7","4","X","13","10","15","13","14","16","9",
"평택시","30대이하","동반가구원수[명]","명","24","15","22","24","23","11","11","31","18","19",
"평택시","40대","귀농가구원수[명]","명","21","12","21","19","15","9","10","26","18","17",
"평택시","40대","귀농인수[명]","명","16","10","15","16","11","7","8","17","16","15",
"평택시","40대","동반가구원수[명]","명","5","X","6","X","4","X","X","9","X","X",
"평택시","50대","귀농가구원수[명]","명","24","24","30","44","49","31","21","41","37","50",
"평택시","50대","귀농인수[명]","명","19","15","24","37","39","26","19","32","29","44",
"평택시","50대","동반가구원수[명]","명","5","9","6","7","10","5","X","9","8","6",
"평택시","60대","귀농가구원수[명]","명","6","10","24","21","37","21","17","33","27","27",
"평택시","60대","귀농인수[명]","명","4","8","18","18","28","19","16","26","20","23",
"평택시","60대","동반가구원수[명]","명","X","X","6","X","9","X","X","7","7","4",
"평택시","70대이상","귀농가구원수[명]","명","5","11","10","12","10","8","9","9","12","9",
"평택시","70대이상","귀농인수[명]","명","5","10","7","11","9","6","8","6","10","6",
"평택시","70대이상","동반가구원수[명]","명","0","X","X","X","X","X","X","X","X","X",
"남양주시","계","귀농가구원수[명]","명","89","84","154","119","87","66","92","103","112","270",
"남양주시","계","귀농인수[명]","명","50","59","87","72","59","42","66","68","64","61",
"남양주시","계","동반가구원수[명]","명","39","25","67","47","28","24","26","35","48","209",
"남양주시","30대이하","귀농가구원수[명]","명","28","28","49","33","20","22","21","28","35","198",
"남양주시","30대이하","귀농인수[명]","명","8","11","9","9","9","8","6","11","9","11",
"남양주시","30대이하","동반가구원수[명]","명","20","17","40","24","11","14","15","17","26","187",
"남양주시","40대","귀농가구원수[명]","명","13","19","25","18","10","13","9","15","16","11",
"남양주시","40대","귀농인수[명]","명","13","19","17","14","6","9","9","12","12","8",
"남양주시","40대","동반가구원수[명]","명","0","0","8","4","4","4","0","X","4","X",
"남양주시","50대","귀농가구원수[명]","명","25","20","50","31","33","18","40","35","33","25",
"남양주시","50대","귀농인수[명]","명","15","16","41","23","26","16","32","27","24","17",
"남양주시","50대","동반가구원수[명]","명","10","4","9","8","7","X","8","8","9","8",
"남양주시","60대","귀농가구원수[명]","명","15","10","25","33","19","9","22","19","21","32",
"남양주시","60대","귀농인수[명]","명","9","8","18","24","14","7","19","15","16","21",
